# timestamp x y z qw qx qy qz
6.8 -0.851559 -1.80965 0 -0.844328 0 0 -0.535827
6.9 -0.736249 -1.85955 0 -0.827081 0 0 -0.562083
7 -0.618034 -1.90211 0 -0.809017 0 0 -0.587785
7.1 -0.49738 -1.93717 0 -0.790155 0 0 -0.612907
7.2 -0.374763 -1.96457 0 -0.770513 0 0 -0.637424
7.3 -0.250666 -1.98423 0 -0.750111 0 0 -0.661312
7.4 -0.125581 -1.99605 0 -0.728969 0 0 -0.684547
7.5 -3.67394e-16 -2 0 -0.707107 0 0 -0.707107
7.6 0.125581 -1.99605 0 -0.684547 0 0 -0.728969
7.7 0.250666 -1.98423 0 -0.661312 0 0 -0.750111
7.8 0.374763 -1.96457 0 -0.637424 0 0 -0.770513
7.9 0.49738 -1.93717 0 -0.612907 0 0 -0.790155
8 0.618034 -1.90211 0 -0.587785 0 0 -0.809017
8.1 0.736249 -1.85955 0 -0.562083 0 0 -0.827081
8.2 0.851559 -1.80965 0 -0.535827 0 0 -0.844328
8.3 0.963507 -1.75261 0 -0.509041 0 0 -0.860742
8.4 1.07165 -1.68866 0 -0.481754 0 0 -0.876307
8.5 1.17557 -1.61803 0 -0.45399 0 0 -0.891007
8.6 1.27485 -1.54103 0 -0.425779 0 0 -0.904827
8.7 1.36909 -1.45794 0 -0.397148 0 0 -0.917755
8.8 1.45794 -1.36909 0 -0.368125 0 0 -0.929776
8.9 1.54103 -1.27485 0 -0.338738 0 0 -0.940881
9 1.61803 -1.17557 0 -0.309017 0 0 -0.951057
9.1 1.68866 -1.07165 0 -0.278991 0 0 -0.960294
9.2 1.75261 -0.963507 0 -0.24869 0 0 -0.968583
9.3 1.80965 -0.851559 0 -0.218143 0 0 -0.975917
9.4 1.85955 -0.736249 0 -0.187381 0 0 -0.982287
9.5 1.90211 -0.618034 0 -0.156434 0 0 -0.987688
9.6 1.93717 -0.49738 0 -0.125333 0 0 -0.992115
9.7 1.96457 -0.374763 0 -0.0941083 0 0 -0.995562
9.8 1.98423 -0.250666 0 -0.0627905 0 0 -0.998027
9.9 1.99605 -0.125581 0 -0.0314108 0 0 -0.999507
